ID,up__Travel_ID,up__Pos,booked_ID,Price,Currency_code
7fa899e2-2d3b-4162-9d09-df656ee984a1,2,7,BV-0008,3.5,EUR
78f5abc8-8e7c-482a-aed6-a5319be9d415,3,3,BV-0007,3.5,EUR
892a9993-1638-41b7-837c-11a288d546cc,3,4,BV-0006,3.5,EUR
614dc3b8-d54a-4d6c-b17e-a0df83d40b1d,6,6,BV-0008,3.5,EUR
141b20c2-4a75-4ace-ab79-4d4f6bcbf254,8,9,BV-0006,3.5,EUR
a9a12347-1fdb-4b1b-8f6b-571ff43c2f3d,11,6,BV-0008,3.5,EUR
518dda90-ddea-43fa-9ad8-047489ceed19,11,9,BV-0008,3.5,EUR
8791fa24-1cfa-45c7-95f1-18848c6141ef,16,2,BV-0004,3.5,EUR
5aa56543-c1c3-415d-b592-f2151d1e3825,16,10,BV-0007,3.5,EUR
c366bea6-350c-4cfd-b123-bab5b318105f,16,11,BV-0008,3.5,EUR
37389436-55b4-404e-bdb8-3b9f110b6fd4,17,4,BV-0008,3.5,EUR
0d99be6c-ed30-40fa-ab4d-93749c4e478b,18,4,BV-0008,3.5,EUR
28805115-662d-47a2-8318-0a41cec4d1d3,19,1,BV-0006,3.5,EUR
77c1fe54-e57a-4fef-858c-ad7514ed94f2,21,3,BV-0004,3.5,EUR
c0aa2ee7-a0dc-48ad-b2b4-9c8b781a49ab,22,1,BV-0006,3.5,EUR
4848badf-2fb6-44aa-8b6f-7257db14febe,23,3,BV-0005,3.5,EUR
2522fbd7-5f4a-4b5a-b482-e6f8f0c5b1c1,23,5,BV-0003,3.5,EUR
2a96219a-4643-4a21-bd22-f6dc099fa7fc,23,9,BV-0007,3.5,EUR
8da38af5-9d88-4454-9e5a-4a16ad57c43d,23,10,BV-0005,3.5,EUR
675eeab2-0ee5-4b92-992d-cd4ffe06b5c1,23,11,BV-0007,3.5,EUR
49de216b-0137-4f18-9ab9-2f649d0cdef0,26,1,BV-0007,3.5,EUR
e58a1850-2998-4131-a8a3-96b3401b50d3,27,4,BV-0004,3.5,EUR
95eb3ed2-32e4-4694-91d5-b34a07ba93d5,29,1,BV-0003,3.5,EUR
b9314311-ef64-446d-af28-490d5d69e0e0,32,3,BV-0008,3.5,EUR
2940ca8e-b39b-4e11-a9d7-90ca45f93930,32,9,BV-0005,3.5,EUR
37ed892b-c5e4-44b6-a19b-585045cf0497,34,4,BV-0003,3.5,EUR
1cc93d1f-d944-4083-a2a6-1755514434e0,34,8,BV-0003,3.5,EUR
fcaa1c01-554c-40c9-8cc4-208bf16ea68f,35,3,BV-0003,3.5,EUR
b1f67c01-6d8a-4354-8c63-7343749b24d7,47,1,BV-0007,3.5,EUR
66659620-6203-4062-b55a-5124dc99663d,47,6,BV-0003,3.5,EUR
b839d633-a0a9-4767-aa72-68aeca740cc2,51,1,BV-0005,3.5,EUR
12cd99ed-b0ef-4329-a2c2-0b5dfc11fca5,56,2,BV-0008,3.5,EUR
17b4951b-02d6-420d-bc7c-1007404f590f,59,1,BV-0005,3.5,EUR
52d44fd0-aa96-44a3-b7d9-421825c2147d,61,1,BV-0007,3.5,EUR
ef2c6eac-bae1-433b-9c35-d2133fcc4095,64,1,BV-0006,3.5,EUR
6d2d1972-c0be-47ce-97a9-324016f61594,67,1,BV-0005,3.5,EUR
182d9b9e-2618-4364-a190-b357b00a245d,79,2,BV-0003,3.5,EUR
8a9ddd12-4c66-4ff7-9d0d-cb3a131cae51,82,1,BV-0005,3.5,EUR
b5e2ba9c-fa1b-4c37-8cd9-81da9cb293c6,91,1,BV-0003,3.5,EUR
b277ee6d-534e-4c87-a132-8d614b19254d,100,1,BV-0006,3.5,EUR
01fe48ce-f105-4904-a125-6a396d46f1a0,101,4,BV-0007,3.5,EUR
5d258691-9727-4452-8d76-cee7f60ab999,101,10,BV-0007,3.5,EUR
1090e99a-6071-48d0-9d91-c811941cf275,111,8,BV-0005,3.5,EUR
651c25f0-41a2-467b-90c2-21165e863144,112,4,BV-0004,3.5,EUR
d72a1fd7-d20c-481f-a534-81848032d1a6,113,3,BV-0004,3.5,EUR
187c632c-18ef-4926-899f-b19ff56b2f52,115,4,BV-0004,3.5,EUR
666f1089-04e5-4803-a242-439cb6d7da41,116,2,BV-0004,3.5,EUR
a1cfb812-b5e9-49ce-9e39-3ffe13e3c4c5,117,4,BV-0007,3.5,EUR
09660e16-2de0-4d90-a7ea-dce089334dfb,117,8,BV-0006,3.5,EUR
01f27577-c152-4b11-ada8-59b7e2c8ce7f,121,1,BV-0003,3.5,EUR
4f0e3f8e-c4c4-460b-b1e0-fa0a4b259596,126,10,BV-0005,3.5,EUR
e718aacf-292a-4958-acc0-128af2952de7,126,11,BV-0005,3.5,EUR
ef01de79-d6cd-42c0-b5c1-befa35bcc5f2,128,11,BV-0006,3.5,EUR
fd241100-ff1b-4689-af56-df5e2be6ec81,129,3,BV-0004,3.5,EUR
74485f78-262a-4a78-a5a8-bcf9760fc70f,130,10,BV-0006,3.5,EUR
51b51378-523c-4041-bde5-d2bd9540be70,135,1,BV-0006,3.5,EUR
3c7d68a6-6957-4037-9c3c-76b50f8ebb31,135,11,BV-0007,3.5,EUR
a0a05300-dda8-454a-b6f9-19e86156bcff,136,2,BV-0005,3.5,EUR
613ecffb-0f79-4b2d-a678-c091d2b42cf7,137,4,BV-0003,3.5,EUR
a57a33d8-fa46-4f29-9051-db20863e88a4,139,2,BV-0004,3.5,EUR
dc443d8e-3e5a-45c7-8ea1-bfaf15b0b5ce,139,6,BV-0008,3.5,EUR
9a50eb92-1f4f-4cde-801a-011a9f295a8f,140,1,BV-0006,3.5,EUR
1fbbf2c5-5247-4e2b-bb35-b8d387cd41ce,144,3,BV-0004,3.5,EUR
fcf54a03-7d78-4814-82b2-62dd860f4dd3,148,2,BV-0008,3.5,EUR
3fa4a916-47b7-4f38-844e-d909bd53e79e,153,1,BV-0008,3.5,EUR
0d1a4885-e8bd-4b1c-b8be-5a90be4c62d8,153,4,BV-0005,3.5,EUR
f9e16f59-1dd6-4638-b96c-7ab4a1a78cda,154,6,BV-0007,3.5,EUR
46b78edd-132e-4c36-8d69-f29bab04ab0a,155,2,BV-0008,3.5,EUR
ea9468ac-b7ed-4aa0-9381-00bcb65d0825,157,3,BV-0005,3.5,EUR
1cfaeff7-ca98-42ee-975f-b9e913fc5685,159,5,BV-0004,3.5,EUR
0aa0ef38-6dbe-40ec-afc7-16b0731e9e40,159,7,BV-0003,3.5,EUR
30819a5d-4a8e-4d15-967c-9e97e863e229,159,14,BV-0008,3.5,EUR
092c7d86-5283-4d46-a492-18466e18bd5a,162,5,BV-0006,3.5,EUR
393ead2a-217c-4fe0-b789-f982113a079c,164,7,BV-0004,3.5,EUR
5fef4be4-5a6c-42bc-8222-126c191e6561,164,9,BV-0008,3.5,EUR
0b3ce3c2-762f-474f-97fd-c1835e844fe5,167,1,BV-0006,3.5,EUR
65a4581a-2a4f-465c-b2fe-7d3e3124299d,167,3,BV-0004,3.5,EUR
4fcbb2e0-4ae4-4360-99ed-ed11e04158b6,167,6,BV-0005,3.5,EUR
d8b3dd40-7982-4ff1-82c6-d3a1ec4af5fb,167,12,BV-0007,3.5,EUR
2399ab7e-3daf-4a95-bff4-b5e4e1a76b4e,168,1,BV-0003,3.5,EUR
d33007c1-7a70-4e26-9ebe-badf489d8a78,168,8,BV-0004,3.5,EUR
dc6bb359-bd70-48de-a0d1-8c7dea7cfea8,171,1,BV-0005,3.5,EUR
61fac956-d737-4d7b-9da9-49f58a6e9605,171,2,BV-0006,3.5,EUR
826ea5d8-e075-498f-8774-d6b7c6b1a39f,171,4,ML-0017,11,EUR
